File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels2,Date Modified,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:14,24.000,48000,2,1920 x 1080,Cineform HD,00:04:08:01,00:04:12:15,5953,6062,110,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:01:15,24.000,48000,2,1920 x 1080,Cineform HD,00:04:12:15,00:04:14:06,6063,6101,39,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:20,24.000,48000,2,1920 x 1080,Cineform HD,00:04:14:06,00:04:18:02,6102,6193,92,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:02:16,24.000,48000,2,1920 x 1080,Cineform HD,00:04:18:02,00:04:20:18,6194,6257,64,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:20,24.000,48000,2,1920 x 1080,Cineform HD,00:04:20:18,00:04:24:14,6258,6349,92,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:01:22,24.000,48000,2,1920 x 1080,Cineform HD,00:04:24:14,00:04:26:12,6350,6395,46,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:15:19,24.000,48000,2,1920 x 1080,Cineform HD,00:04:26:12,00:04:42:07,6396,6774,379,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:05:17,24.000,48000,2,1920 x 1080,Cineform HD,00:04:42:07,00:04:48:00,6775,6911,137,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:06:16,24.000,48000,2,1920 x 1080,Cineform HD,00:04:48:00,00:04:54:16,6912,7071,160,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:10:08,24.000,48000,2,1920 x 1080,Cineform HD,00:04:54:16,00:05:05:00,7072,7319,248,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:18,24.000,48000,2,1920 x 1080,Cineform HD,00:05:05:00,00:05:08:18,7320,7409,90,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:13:17,24.000,48000,2,1920 x 1080,Cineform HD,00:05:08:18,00:05:22:11,7410,7738,329,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:21:03,24.000,48000,2,1920 x 1080,Cineform HD,00:05:22:11,00:05:43:14,7739,8245,507,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
